individual_1 individual_2 pedigree.relationship pedigree.degree kin kin0 ibs0 ibs1 ibs2 ibs02 ibs12 ibs01 j1 j2 j3 j4 j5 j6 j7 j8 j9
Test1_g3-b1-i1 Test1_g4-b1-i49 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s6 Test1_g3-b12-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b6-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i9 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b10-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s8 Test1_g3-b20-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s3 Test1_g3-b3-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i44 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i22 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b5-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i47 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b29-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b4-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i6 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b9-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i13 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i19 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i24 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i35 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i5 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i24 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i43 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i2 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i46 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i38 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i47 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i21 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b1-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i10 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i40 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b12-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b13-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i31 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b19-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i16 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i46 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s9 Test1_g3-b21-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i21 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i41 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b26-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i13 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i48 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-i1 Test1_g3-b10-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s2 Test1_g3-b2-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i35 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s5 Test1_g3-b11-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i18 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i12 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b8-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b23-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i45 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i50 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b1-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s18 Test1_g3-b30-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s1 Test1_g3-b1-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i38 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i36 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i17 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b15-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i32 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s2 Test1_g3-b14-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b18-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b14-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b22-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s17 Test1_g3-b29-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i9 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b6-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i11 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g2-b11-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i28 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i34 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i29 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i34 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i12 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i48 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s2 Test1_g3-b8-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i45 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b27-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i30 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i18 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i44 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-i1 Test1_g3-b1-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i6 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b24-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-i1 Test1_g3-b7-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b3-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b15-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b25-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i4 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s14 Test1_g3-b26-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s6 Test1_g3-b18-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
